Content,Type,Last 7 days unique viewers,Last 7 days visits,ICB
Home.aspx,Site Page,8,16,BOB
PlannedCare.aspx,Site Page,6,7,BOB
Performance.aspx,Site Page,5,10,BOB
UsefulInformation.aspx,Site Page,3,3,BOB
UrgentAndEmergencyCare.aspx,Site Page,2,2,BOB
Ad-Hoc-Reports.aspx,Site Page,2,2,BOB
Community.aspx,Site Page,1,1,BOB
ChildrenAndYoungPeople.aspx,Site Page,1,1,BOB
ContractAnalytics.aspx,Site Page,1,2,BOB
MentalHealth.aspx,Site Page,1,1,BOB
NCA Providers SUS Report 2024-25 M08.xlsx,Document,1,1,BOB
A004 Open and Closed Care Homes 2023-24 - 2024-25_v2.xlsx,Document,1,1,BOB
BOB ACM Monitoring 2024-25 M08 v1.xlsm,Document,1,1,BOB
Home.aspx,Site Page,4,10,Frimley
UsefulInformation.aspx,Site Page,2,2,Frimley
PrimaryCare.aspx,Site Page,1,1,Frimley
AdHocReports.aspx,Site Page,1,1,Frimley
Community.aspx,Site Page,1,2,Frimley
M06 - CYP MH Emergency Admissions.pptx,Document,1,2,Frimley
2025_01_ 02 UEC Monthly BAF  - Performance Briefing.pptx,Document,1,2,Frimley
Home.aspx,Site Page,9,16,HIOW
MHandCYP.aspx,Site Page,5,7,HIOW
Community.aspx,Site Page,5,7,HIOW
Workforce-Report.aspx,Site Page,3,4,HIOW
Local-Care.aspx,Site Page,3,3,HIOW
Planned-Care.aspx,Site Page,2,3,HIOW
Discharge.aspx,Site Page,1,1,HIOW
UEC.aspx,Site Page,1,2,HIOW
Product-Catalogue-&-Monthly-Publications.aspx,Site Page,1,1,HIOW
EL03 HIOW Waiting List and RTT - 2025_01_26 NO WLMDS DATA.xlsx,Document,2,4,HIOW
EL01 HIOW Elective weekly activity - 2025_01_26.xlsb,Document,2,2,HIOW
2425 SHFT MH Psych Liaison Report.xlsx,Document,2,2,HIOW
HIOW_591 Number of emergency admissions for ACSC M09 2425.xlsx,Document,2,2,HIOW
M09_2425 C5 Solent Childrens Services Dashboards 11A.xlsx,Document,1,1,HIOW
M09_2425 C5 Solent Childrens Services Dashboards 10X.xlsx,Document,1,1,HIOW
M09_2425 C5 Solent Childrens Services Dashboards 10V 10K.xlsx,Document,1,1,HIOW
M09_2425 C5 Solent Childrens Services Dashboards 10R.xlsx,Document,1,1,HIOW
EL06 HIOW Diagnostics - 2025_01_26.xlsx,Document,1,1,HIOW
GSUM weighted populations Apr 24 - Final .xlsx,Document,1,1,HIOW
A&E Paediatric Dashboard - HIOW - 2024-25 M08.xlsm,Document,1,1,HIOW
Virtual Wards HIOW ICB Focus July 2024.xlsx,Document,1,1,HIOW
M09_2425 Solent Combined Occupied Bed Days Report (D15).xlsx,Document,1,1,HIOW
2425 SHFT MH Workforce Report.xlsx,Document,1,1,HIOW
2425 SHFT ICS Community Nursing Report.xlsx,Document,1,1,HIOW
2425 SHFT ICS Bed Status Report.xlsx,Document,1,1,HIOW
M09_2425 Portsmouth LAC Hotspots Report.pdf,Document,1,1,HIOW
Home.aspx,Site Page,11,14,Somerset
Planned-care.aspx,Site Page,4,4,Somerset
Children-and-Young-People.aspx,Site Page,2,2,Somerset
Urgent-and-emergency-care.aspx,Site Page,1,2,Somerset
Health-&-Social-Care.aspx,Site Page,1,1,Somerset
0125 - Paediatric & CYP Urgent and Elective Recovery Dashboard_v2.xlsm,Document,2,2,Somerset
1124 - ERF Assessment.pptx,Document,2,4,Somerset
0124 - CYP Diabetes Dashboard.xlsm,Document,1,1,Somerset
Home.aspx,Site Page,4,4,Sussex
Contract-analytics.aspx,Site Page,4,5,Sussex
Provider_Data_Reconciliation_Report_RTP_2024-25_M9_YTD.xlsb,Document,2,2,Sussex
Provider_Data_Reconciliation_Report_RYR_East_2024-25_M9_Flex.xlsb,Document,1,1,Sussex
